Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item_Code,Item,Year Code,Year Range,Year,Unit,Value,Flag,Flag Description,Note
FS,Suite of Food Security Indicators,004,Afghanistan,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,9.50,X,Figure from international organizations,
FS,Suite of Food Security Indicators,004,Afghanistan,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,42.90,X,Figure from international organizations,
FS,Suite of Food Security Indicators,008,Albania,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,008,Albania,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,15.20,X,Figure from international organizations,
FS,Suite of Food Security Indicators,012,Algeria,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,012,Algeria,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,11.60,X,Figure from international organizations,
FS,Suite of Food Security Indicators,016,American Samoa,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,016,American Samoa,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,020,Andorra,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,020,Andorra,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,024,Angola,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,024,Angola,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,32.80,X,Figure from international organizations,
FS,Suite of Food Security Indicators,028,Antigua and Barbuda,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,028,Antigua and Barbuda,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,032,Argentina,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,032,Argentina,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,7.20,X,Figure from international organizations,
FS,Suite of Food Security Indicators,051,Armenia,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,051,Armenia,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,12.90,X,Figure from international organizations,
FS,Suite of Food Security Indicators,036,Australia,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,036,Australia,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,3.30,X,Figure from international organizations,
FS,Suite of Food Security Indicators,040,Austria,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,040,Austria,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,031,Azerbaijan,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,3.20,X,Figure from international organizations,
FS,Suite of Food Security Indicators,031,Azerbaijan,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,16.70,X,Figure from international organizations,
FS,Suite of Food Security Indicators,044,Bahamas,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,044,Bahamas,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,048,Bahrain,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,048,Bahrain,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,6.50,X,Figure from international organizations,"Most recent input data are from before 2000, interpret with caution"
FS,Suite of Food Security Indicators,050,Bangladesh,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,9.60,X,Figure from international organizations,
FS,Suite of Food Security Indicators,050,Bangladesh,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,37.80,X,Figure from international organizations,
FS,Suite of Food Security Indicators,052,Barbados,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,052,Barbados,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,7.30,X,Figure from international organizations,
FS,Suite of Food Security Indicators,112,Belarus,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,112,Belarus,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,3.80,X,Figure from international organizations,
FS,Suite of Food Security Indicators,056,Belgium,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,056,Belgium,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,2.70,X,Figure from international organizations,
FS,Suite of Food Security Indicators,084,Belize,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,084,Belize,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,16.70,X,Figure from international organizations,
FS,Suite of Food Security Indicators,204,Benin,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,204,Benin,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,33.50,X,Figure from international organizations,
FS,Suite of Food Security Indicators,060,Bermuda,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,060,Bermuda,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2013,2013,2013,%,,X,Figure from international organizations,
FS,Suite of Food Security Indicators,064,Bhutan,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2013,2013,2013,%,,X,Figure from international organizations,
