Delivery Date,From,To,Service Requirement Type,Service Requirement MW,DFS Procured MW,DFS Provider Bids Accepted Total Cost GBP,Settled Volume MW,Settled Cost GBP
18/04/2025,18:00,18:30,Live,500,0,0,,
18/04/2025,18:30,19:00,Live,500,0,0,,
18/04/2025,19:00,19:30,Live,500,0,0,,
18/04/2025,19:30,20:00,Live,500,0,0,,
18/04/2025,20:00,20:30,Live,500,0,0,,
18/04/2025,20:30,21:00,Live,500,0,0,,
16/04/2025,18:00,18:30,Live,500,4,189,,
16/04/2025,18:30,19:00,Live,500,4,196.5,,
16/04/2025,20:00,20:30,Live,500,0,0,,
16/04/2025,20:30,21:00,Live,500,1,40,,
15/04/2025,16:00,16:30,Live,500,0,0,,
15/04/2025,16:30,17:00,Live,500,0,0,,
15/04/2025,17:00,17:30,Live,500,0,0,,
15/04/2025,17:30,18:00,Live,500,0,0,,
15/04/2025,18:00,18:30,Live,500,0,0,,
15/04/2025,18:30,19:00,Live,500,0,0,,
15/04/2025,19:00,19:30,Live,500,0,0,,
15/04/2025,19:30,20:00,Live,500,0,0,,
14/04/2025,16:00,16:30,Live,500,1,45,,
10/04/2025,17:00,17:30,Live,500,36.9,1920.1,,
10/04/2025,17:30,18:00,Live,500,32.1,1669.75,,
10/04/2025,18:00,18:30,Live,500,26.5,1446.7,,
10/04/2025,18:30,19:00,Live,500,26.3,1439.65,,
10/04/2025,19:00,19:30,Live,500,28.5,1466.05,,
10/04/2025,19:30,20:00,Live,500,25.1,1290.05,,
09/04/2025,17:00,17:30,Live,200,35.5,1901.6,,
09/04/2025,17:30,18:00,Live,200,30.6,1638.55,,
09/04/2025,18:00,18:30,Live,200,25,1386.8,,
09/04/2025,18:30,19:00,Live,200,22.8,1265.7,,
07/04/2025,18:00,18:30,Live,500,27.7,1789.2,,
07/04/2025,18:30,19:00,Live,500,22.7,1463.65,,
07/04/2025,19:00,19:30,Live,500,22.1,1203.75,,
07/04/2025,19:30,20:00,Live,500,18.7,1022,,
04/04/2025,17:00,17:30,Live,500,10.6,607.7,,
04/04/2025,17:30,18:00,Live,500,9.2,527.15,,
01/04/2025,16:00,16:30,Live,500,0,0,,
01/04/2025,16:30,17:00,Live,500,0,0,,
01/04/2025,17:00,17:30,Live,500,0,0,,
01/04/2025,17:30,18:00,Live,500,0,0,,
31/03/2025,16:00,16:30,Live,500,6.9,368.15,,
31/03/2025,16:30,17:00,Live,500,6.6,352.7,,
31/03/2025,17:00,17:30,Live,500,2.2,134.5,,
31/03/2025,17:30,18:00,Live,500,2.2,134.5,,
28/03/2025,18:00,18:30,Live,500,11.7,752.5,,
28/03/2025,18:30,19:00,Live,500,11.5,750,,
26/03/2025,16:00,16:30,Live,300,7.3,475.25,,
26/03/2025,16:30,17:00,Live,300,7.3,475.25,,
26/03/2025,17:00,17:30,Live,300,12.3,810.25,,
26/03/2025,17:30,18:00,Live,300,12.3,812.75,,
26/03/2025,18:00,18:30,Live,300,12.3,806.25,,
26/03/2025,18:30,19:00,Live,300,12.3,811.25,,
25/03/2025,16:00,16:30,Live,500,22.6,1183.5,,
25/03/2025,16:30,17:00,Live,500,32.4,1651.5,,
25/03/2025,17:00,17:30,Live,500,23.7,1370.25,,
25/03/2025,17:30,18:00,Live,500,18.5,1076.75,,
25/03/2025,18:00,18:30,Live,500,16.1,1074.75,,
25/03/2025,18:30,19:00,Live,500,16.1,1074.75,,
19/03/2025,16:00,16:30,Live,500,52.2,2741.7,,
19/03/2025,16:30,17:00,Live,500,46.6,2453.05,,
19/03/2025,17:00,17:30,Live,500,52.1,3738.2,,
19/03/2025,17:30,18:00,Live,500,44.4,3210.8,,
19/03/2025,18:00,18:30,Live,500,185.6,14910.2,,
19/03/2025,18:30,19:00,Live,500,187.3,15047.95,,
18/03/2025,18:00,18:30,Live,300,32.2,2094.8,,
18/03/2025,18:30,19:00,Live,300,31.8,2068.8,,
17/03/2025,17:00,17:30,Live,100,49.2,3283.85,,
17/03/2025,17:30,18:00,Live,100,42.5,2842.5,,
17/03/2025,18:00,18:30,Live,500,49.8,3530.85,,
17/03/2025,18:30,19:00,Live,500,54,3827,,
14/03/2025,16:00,16:30,Live,500,38.4,2181.1,,
14/03/2025,16:30,17:00,Live,500,39.5,2247.95,,
14/03/2025,17:00,17:30,Live,500,46.2,3044.7,,
14/03/2025,17:30,18:00,Live,500,38.5,2540,,
14/03/2025,18:00,18:30,Live,500,16.3,1100.25,,
14/03/2025,18:30,19:00,Live,500,17.3,1165.25,,
13/03/2025,16:00,16:30,Live,500,49.3,2942.4,,
13/03/2025,16:30,17:00,Live,500,47.1,2812.1,,
13/03/2025,17:00,17:30,Live,500,49.8,3565.5,,
13/03/2025,17:30,18:00,Live,500,48.5,3466.7,,
13/03/2025,18:00,18:30,Live,500,52,3939,,
13/03/2025,18:30,19:00,Live,500,52.1,3936.35,,
12/03/2025,16:00,16:30,Live,500,24.4,1227.5,,
12/03/2025,16:30,17:00,Live,500,28.5,1435,,
12/03/2025,17:00,17:30,Live,500,54.8,3482.75,,
12/03/2025,17:30,18:00,Live,500,48.3,3081.5,,
12/03/2025,18:00,18:30,Live,500,195.5,15096.2,,
12/03/2025,18:30,19:00,Live,500,196.7,15184.7,,
11/03/2025,16:00,16:30,Live,500,43.9,2202.5,,
11/03/2025,16:30,17:00,Live,500,47.3,2372.5,,
11/03/2025,17:00,17:30,Live,500,43.5,2590,,
11/03/2025,17:30,18:00,Live,500,40.2,2402.35,,
11/03/2025,18:00,18:30,Live,500,22.8,1484.6,,
11/03/2025,18:30,19:00,Live,500,22.9,1492.45,,
10/03/2025,17:00,17:30,Live,500,28.2,1503.4,,
10/03/2025,17:30,18:00,Live,500,30.4,1612.4,,
10/03/2025,18:00,18:30,Live,500,29.2,1732.1,,
10/03/2025,18:30,19:00,Live,500,29.6,1750.4,,
07/03/2025,17:00,17:30,Live,500,1,57.5,,
07/03/2025,17:30,18:00,Live,500,0,0,,
07/03/2025,18:00,18:30,Live,500,27.4,1572.1,,
07/03/2025,18:30,19:00,Live,500,28.2,1617.48,,
06/03/2025,16:00,16:30,Live,500,56,2860,,
06/03/2025,16:30,17:00,Live,500,54.8,2790,,
06/03/2025,17:00,17:30,Live,500,53.8,3032.55,,
06/03/2025,17:30,18:00,Live,500,51.4,2898.45,,
06/03/2025,18:00,18:30,Live,500,51.5,3020.1,,
06/03/2025,18:30,19:00,Live,500,52,3048.75,,
05/03/2025,16:00,16:30,Live,500,9.3,709,,
05/03/2025,16:30,17:00,Live,500,9.3,709,,
05/03/2025,17:00,17:30,Live,500,9.3,709,,
05/03/2025,17:30,18:00,Live,500,9.3,709,,
05/03/2025,18:00,18:30,Live,500,160.8,12829,,
05/03/2025,18:30,19:00,Live,500,159.8,12749,,
04/03/2025,16:00,16:30,Live,500,1,57.5,,
04/03/2025,16:30,17:00,Live,500,0,0,,
04/03/2025,17:00,17:30,Live,500,4,265,,
04/03/2025,17:30,18:00,Live,500,4,265,,
04/03/2025,18:00,18:30,Live,500,173.9,13862,,
04/03/2025,18:30,19:00,Live,500,172.9,13787,,
03/03/2025,16:00,16:30,Live,500,7.8,460.75,,
03/03/2025,16:30,17:00,Live,500,6.8,395.75,,
03/03/2025,17:00,17:30,Live,500,10.8,673.25,,
03/03/2025,17:30,18:00,Live,500,10.8,673.25,,
03/03/2025,18:00,18:30,Live,500,159.8,12667.75,,
03/03/2025,18:30,19:00,Live,500,158.9,12600.3,,
02/03/2025,16:00,16:30,Live,500,0,0,,
02/03/2025,16:30,17:00,Live,500,0,0,,
02/03/2025,17:00,17:30,Live,500,6.3,378,,
02/03/2025,17:30,18:00,Live,500,6.3,378,,
02/03/2025,18:00,18:30,Live,500,7.3,440.5,,
02/03/2025,18:30,19:00,Live,500,7.3,440.5,,
28/02/2025,16:00,16:30,Live,500,6.3,378,4.9,296
28/02/2025,16:30,17:00,Live,500,6.3,378,3.6,216
28/02/2025,17:00,17:30,Live,500,7.3,443,3.6,216
28/02/2025,17:30,18:00,Live,500,7.3,443,3.6,216
28/02/2025,18:00,18:30,Live,500,7.3,443,3.6,216
28/02/2025,18:30,19:00,Live,500,7.3,443,3.6,216
25/02/2025,16:00,16:30,Live,500,43.9,2569.5,21.3,1171.3
25/02/2025,16:30,17:00,Live,500,43.9,2574.5,35.8,1966.2
25/02/2025,17:00,17:30,Live,500,43.9,2690.45,27.5,1613.4
25/02/2025,17:30,18:00,Live,500,181.1,13666.45,193.7,14863.5
25/02/2025,18:00,18:30,Live,500,185.6,14438.55,198.9,15633.8
25/02/2025,18:30,19:00,Live,500,43.9,3107.55,32.9,2343.7
24/02/2025,16:00,16:30,Live,500,8.2,593.9,1.6,105.2
24/02/2025,16:30,17:00,Live,500,8.2,593.9,0.9,53.5
24/02/2025,17:00,17:30,Live,500,8.2,596.4,1,62.2
24/02/2025,17:30,18:00,Live,500,8.2,596.4,1,62.5
24/02/2025,18:00,18:30,Live,500,8.2,601.4,1,63.9
24/02/2025,18:30,19:00,Live,500,8.2,596.4,0.9,53.1
23/02/2025,16:00,16:30,Live,500,0,0,0,0
23/02/2025,16:30,17:00,Live,500,0,0,0,0
23/02/2025,17:00,17:30,Live,500,0,0,0,0
23/02/2025,17:30,18:00,Live,500,0,0,0,0
23/02/2025,18:00,18:30,Live,500,0,0,0,0
23/02/2025,18:30,19:00,Live,500,0,0,0,0
20/02/2025,16:00,16:30,Live,500,38.4,2057,12.9,687.1
20/02/2025,16:30,17:00,Live,500,38.4,2289.5,13.2,796.5
20/02/2025,17:00,17:30,Live,500,38.4,2292,17.9,1081.3
20/02/2025,17:30,18:00,Live,500,38.4,2292,17.8,1073.9
20/02/2025,18:00,18:30,Live,500,38.4,2297,15.5,939.7
20/02/2025,18:30,19:00,Live,500,38.4,2292,15.8,950.6
19/02/2025,16:00,16:30,Live,500,0,0,0,0
19/02/2025,16:30,17:00,Live,500,0,0,0,0
19/02/2025,17:00,17:30,Live,500,44.4,2745.5,28.3,1810.3
19/02/2025,17:30,18:00,Live,500,44.4,2750.5,29.2,1862.2
19/02/2025,18:00,18:30,Live,500,44.4,2755.5,28.7,1833.4
19/02/2025,18:30,19:00,Live,500,43.4,2690.5,29.3,1869.1
18/02/2025,16:00,16:30,Live,300,48.9,3054.8,24.3,1403.1
18/02/2025,16:30,17:00,Live,300,48.9,3057.3,20.7,1248.2
18/02/2025,17:00,17:30,Live,500,174.9,13458.8,171.5,13416.1
18/02/2025,17:30,18:00,Live,500,185.6,14319.8,180.6,14162.9
17/02/2025,17:00,17:30,Live,500,52.1,3826.8,29.1,2091.5
17/02/2025,17:30,18:00,Live,500,188.8,14762.8,173.9,13706.2
17/02/2025,18:00,18:30,Live,500,192.8,15077.8,175.9,13859.5
17/02/2025,18:30,19:00,Live,500,52.1,3821.8,26.9,1923.8
14/02/2025,16:00,16:30,Live,500,15.7,1084.5,2.1,128.8
14/02/2025,16:30,17:00,Live,500,15.7,1084.5,2.2,135.9
14/02/2025,17:00,17:30,Live,500,15.7,1084.5,2.1,131.9
