Area Code (ISO3),Area,Item,prices,undernourishment
AND,Andorra,"Consumer Prices, Food Indices (2015 = 100)",119.95963,0
ATG,Antigua and Barbuda,"Consumer Prices, Food Indices (2015 = 100)",120.128525,0
BHS,Bahamas,"Consumer Prices, Food Indices (2015 = 100)",119.32396,0
BHR,Bahrain,"Consumer Prices, Food Indices (2015 = 100)",119.388002,0
BMU,Bermuda,"Consumer Prices, Food Indices (2015 = 100)",120.67914,0
BTN,Bhutan,"Consumer Prices, Food Indices (2015 = 100)",152.985019,0
BRN,Brunei Darussalam,"Consumer Prices, Food Indices (2015 = 100)",110.633063,0
BDI,Burundi,"Consumer Prices, Food Indices (2015 = 100)",173.40572,0
COK,Cook Islands,"Consumer Prices, Food Indices (2015 = 100)",121.21906,0
GNQ,Equatorial Guinea,"Consumer Prices, Food Indices (2015 = 100)",108.486695,0
GRL,Greenland,"Consumer Prices, Food Indices (2015 = 100)",113.315945,0
GRD,Grenada,"Consumer Prices, Food Indices (2015 = 100)",106.732547,0
LSO,Lesotho,"Consumer Prices, Food Indices (2015 = 100)",172.277487,0
MDV,Maldives,"Consumer Prices, Food Indices (2015 = 100)",113.526945,0
FSM,Micronesia (Federated States of),"Consumer Prices, Food Indices (2015 = 100)",104.657467,0
PLW,Palau,"Consumer Prices, Food Indices (2015 = 100)",121.936277,0
PSE,Palestine,"Consumer Prices, Food Indices (2015 = 100)",106.499259,0
PRI,Puerto Rico,"Consumer Prices, Food Indices (2015 = 100)",112.223727,0
QAT,Qatar,"Consumer Prices, Food Indices (2015 = 100)",106.273773,0
KNA,Saint Kitts and Nevis,"Consumer Prices, Food Indices (2015 = 100)",107.824785,0
LCA,Saint Lucia,"Consumer Prices, Food Indices (2015 = 100)",104.464835,0
SGP,Singapore,"Consumer Prices, Food Indices (2015 = 100)",115.535107,0
TON,Tonga,"Consumer Prices, Food Indices (2015 = 100)",141.8763,0
DZA,Algeria,"Consumer Prices, Food Indices (2015 = 100)",138.91157,2.5
ARM,Armenia,"Consumer Prices, Food Indices (2015 = 100)",135.921277,2.5
AUS,Australia,"Consumer Prices, Food Indices (2015 = 100)",115.109412,2.5
AUT,Austria,"Consumer Prices, Food Indices (2015 = 100)",119.027939,2.5
AZE,Azerbaijan,"Consumer Prices, Food Indices (2015 = 100)",189.275849,2.5
BRB,Barbados,"Consumer Prices, Food Indices (2015 = 100)",154.248796,2.5
BLR,Belarus,"Consumer Prices, Food Indices (2015 = 100)",177.923658,2.5
BEL,Belgium,"Consumer Prices, Food Indices (2015 = 100)",116.634242,2.5
BIH,Bosnia and Herzegovina,"Consumer Prices, Food Indices (2015 = 100)",129.5663,2.5
BRA,Brazil,"Consumer Prices, Food Indices (2015 = 100)",164.421585,2.5
BGR,Bulgaria,"Consumer Prices, Food Indices (2015 = 100)",147.719741,2.5
