COUNTRY,Item,Year,Value
United States of America,Percentage of children under 5 years affected by wasting (percent),2018,0.1
Republic of Korea,Percentage of children under 5 years affected by wasting (percent),2020,0.2
United Kingdom of Great Britain and Northern Ireland,Percentage of children under 5 years affected by wasting (percent),2015,0.3
United Kingdom of Great Britain and Northern Ireland,Percentage of children under 5 years affected by wasting (percent),2017,0.3
Germany,Percentage of children under 5 years affected by wasting (percent),2016,0.4
United States of America,Percentage of children under 5 years affected by wasting (percent),2016,0.4
Peru,Percentage of children under 5 years affected by wasting (percent),2019,0.4
Peru,Percentage of children under 5 years affected by wasting (percent),2020,0.4
Peru,Percentage of children under 5 years affected by wasting (percent),2021,0.4
Peru,Percentage of children under 5 years affected by wasting (percent),2017,0.5
Peru,Percentage of children under 5 years affected by wasting (percent),2018,0.5
Peru,Percentage of children under 5 years affected by wasting (percent),2022,0.5
Croatia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2015,0.5
Latvia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,0.5
Czechia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016,0.5
Japan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016,0.5
Republic of Korea,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016,0.5
Japan,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,0.5
Russian Federation,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2017,0.5
Switzerland,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2017,0.5
Viet Nam,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2017,0.5
Germany,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2018,0.5
Poland,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,0.5
Russian Federation,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,0.5
Viet Nam,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2018,0.5
Indonesia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.5
Poland,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.5
Viet Nam,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,0.5
Viet Nam,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2020,0.5
Italy,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2021,0.5
Kazakhstan,Prevalence of severe food insecurity in the total population (percent) (3-year average),2021,0.5
Luxembourg,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2021,0.5
Kazakhstan,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2022,0.5
Peru,Percentage of children under 5 years affected by wasting (percent),2015,0.6
