Local_authority,LA_code,2023
Derby,E06000015,0.37
Leicester,E06000016,0.39
Rutland,E06000017,0.18
Nottingham,E06000018,0.39
North Northamptonshire,E06000061,0.29
West Northamptonshire,E06000062,0.27
Amber Valley,E07000032,0.29
Bolsover,E07000033,0.34
Chesterfield,E07000034,0.33
Derbyshire Dales,E07000035,0.23
Erewash,E07000036,0.29
High Peak,E07000037,0.26
North East Derbyshire,E07000038,0.29
South Derbyshire,E07000039,0.25
Blaby,E07000129,0.24
Charnwood,E07000130,0.26
Harborough,E07000131,0.18
Hinckley and Bosworth,E07000132,0.26
Melton,E07000133,0.26
North West Leicestershire,E07000134,0.25
Oadby and Wigston,E07000135,0.26
Boston,E07000136,0.36
East Lindsey,E07000137,0.35
Lincoln,E07000138,0.36
North Kesteven,E07000139,0.24
South Holland,E07000140,0.32
South Kesteven,E07000141,0.27
West Lindsey,E07000142,0.31
Ashfield,E07000170,0.34
Bassetlaw,E07000171,0.33
Broxtowe,E07000172,0.27
Gedling,E07000173,0.28
Mansfield,E07000174,0.34
Newark and Sherwood,E07000175,0.31
Rushcliffe,E07000176,0.16
Peterborough,E06000031,0.36
Luton,E06000032,0.39
Southend-on-Sea,E06000033,0.25
Thurrock,E06000034,0.27
Bedford,E06000055,0.25
Central Bedfordshire,E06000056,0.18
Cambridge,E07000008,0.20
East Cambridgeshire,E07000009,0.17
Fenland,E07000010,0.32
Huntingdonshire,E07000011,0.19
South Cambridgeshire,E07000012,0.14
Basildon,E07000066,0.25
Braintree,E07000067,0.22
Brentwood,E07000068,0.16
Castle Point,E07000069,0.21
Chelmsford,E07000070,0.17
Colchester,E07000071,0.22
Epping Forest,E07000072,0.20
Harlow,E07000073,0.28
Maldon,E07000074,0.20
Rochford,E07000075,0.17
Tendring,E07000076,0.28
Uttlesford,E07000077,0.14
Broxbourne,E07000095,0.21
Dacorum,E07000096,0.18
Hertsmere,E07000098,0.17
North Hertfordshire,E07000099,0.18
Three Rivers,E07000102,0.14
Watford,E07000103,0.21
Breckland,E07000143,0.26
Broadland,E07000144,0.19
Great Yarmouth,E07000145,0.33
King's Lynn and West Norfolk,E07000146,0.28
North Norfolk,E07000147,0.29
Norwich,E07000148,0.35
South Norfolk,E07000149,0.19
Babergh,E07000200,0.23
Ipswich,E07000202,0.34
Mid Suffolk,E07000203,0.20
St Albans,E07000240,0.13
Welwyn Hatfield,E07000241,0.19
East Hertfordshire,E07000242,0.13
Stevenage,E07000243,0.24
East Suffolk,E07000244,0.26
West Suffolk,E07000245,0.20
City of London,E09000001,
Barking and Dagenham,E09000002,0.42
Barnet,E09000003,0.25
Bexley,E09000004,0.26
Brent,E09000005,0.35
Bromley,E09000006,0.20
Camden,E09000007,0.39
Croydon,E09000008,0.31
Ealing,E09000009,0.31
Enfield,E09000010,0.31
Greenwich,E09000011,0.37
Hackney,E09000012,0.43
Hammersmith and Fulham,E09000013,0.28
Haringey,E09000014,0.35
Harrow,E09000015,0.31
Havering,E09000016,0.28
Hillingdon,E09000017,0.30
Hounslow,E09000018,0.32
Islington,E09000019,0.38
Kensington and Chelsea,E09000020,0.23
Kingston upon Thames,E09000021,0.19
Lambeth,E09000022,0.36
Lewisham,E09000023,0.33
Merton,E09000024,0.27
Newham,E09000025,0.44
Redbridge,E09000026,0.33
Richmond upon Thames,E09000027,0.12
Southwark,E09000028,0.37
Sutton,E09000029,0.23
Tower Hamlets,E09000030,0.48
Waltham Forest,E09000031,0.38
Wandsworth,E09000032,0.28
Westminster,E09000033,0.30
Hartlepool,E06000001,0.33
Middlesbrough,E06000002,0.39
Redcar and Cleveland,E06000003,0.32
Stockton-on-Tees,E06000004,0.28
Darlington,E06000005,0.30
County Durham,E06000047,0.30
Northumberland,E06000057,0.26
Newcastle upon Tyne,E08000021,0.34
North Tyneside,E08000022,0.24
South Tyneside,E08000023,0.32
Sunderland,E08000024,0.31
Gateshead,E08000037,0.29
Halton,E06000006,0.37
Warrington,E06000007,0.30
Blackburn with Darwen,E06000008,0.45
Blackpool,E06000009,0.44
Cheshire East,E06000049,0.26
Cheshire West and Chester,E06000050,0.30
Cumberland,E06000063,0.34
Westmorland and Furness,E06000064,0.30
Burnley,E07000117,0.45
Chorley,E07000118,0.28
Fylde,E07000119,0.29
Hyndburn,E07000120,0.45
Lancaster,E07000121,0.35
Pendle,E07000122,0.45
Preston,E07000123,0.41
Ribble Valley,E07000124,0.23
Rossendale,E07000125,0.38
South Ribble,E07000126,0.28
West Lancashire,E07000127,0.34
Wyre,E07000128,0.32
Bolton,E08000001,0.45
Bury,E08000002,0.40
Manchester,E08000003,0.48
Oldham,E08000004,0.46
Rochdale,E08000005,0.45
Salford,E08000006,0.43
Stockport,E08000007,0.31
Tameside,E08000008,0.41
Trafford,E08000009,0.25
Wigan,E08000010,0.36
Knowsley,E08000011,0.40
Liverpool,E08000012,0.43
St. Helens,E08000013,0.36
Sefton,E08000014,0.34
Wirral,E08000015,0.35
Antrim and Newtownabbey,N09000001,0.21
"Armagh City, Banbridge and Craigavon",N09000002,0.24
Belfast,N09000003,0.27
Causeway Coast and Glens,N09000004,0.25
Derry City and Strabane,N09000005,0.25
Fermanagh and Omagh,N09000006,0.24
Lisburn and Castlereagh,N09000007,0.17
Mid and East Antrim,N09000008,0.22
Mid Ulster,N09000009,0.23
"Newry, Mourne and Down",N09000010,0.26
Ards and North Down,N09000011,0.20
Clackmannanshire,S12000005,0.29
Dumfries and Galloway,S12000006,0.27
East Ayrshire,S12000008,0.28
East Lothian,S12000010,0.21
East Renfrewshire,S12000011,0.14
Na h-Eileanan Siar,S12000013,0.19
